Region;Scenario;Crop;Real;Year;Proj.Yd
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2001;56.6126217148937
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2002;48.325722207535
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2003;72.0653284771893
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2004;66.8562811339303
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2005;55.4833978064031
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2006;44.3403246137677
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2007;58.3745667728671
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2008;63.1488308748379
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2009;56.3360664767062
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2010;52.561167626681
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2011;58.4587796194569
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2012;64.76819383117
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2013;59.8506151985058
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2014;58.6326837449013
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2015;51.98653619747
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2016;63.7659728865828
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2017;67.3149493190517
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2018;61.5181901716425
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2019;58.9163200446472
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2020;62.9948063797186
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2021;73.7572317299993
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2022;69.468437438984
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2023;60.5290751144484
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2024;57.8372431890322
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2025;59.1056406471085
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2026;59.3023899913079
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2027;62.0586285914718
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2028;58.4190921818975
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2029;67.785068340027
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2030;60.993860249474
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2031;63.1597137662312
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2032;70.9095224951714
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2033;44.8658564765904
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2034;55.6488730263331
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2035;59.7681387904968
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2036;59.7842174339407
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2037;67.5855181242951
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2038;57.2539588262005
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2039;49.358707356019
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2040;57.3618631979896
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2041;52.6325073249114
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2042;60.4955026311282
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2043;66.5050031207796
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2044;61.9639249466158
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2045;52.7004782324336
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2046;59.5021837193735
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2047;59.3156664065682
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2048;52.3755435367647
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2049;53.6611688264415
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2050;62.8403925875153
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2051;53.6011805940586
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2052;66.3337369982144
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2053;48.6477667580704
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2054;52.9087161465168
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2055;60.6421224010282
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2056;62.0474779965026
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2057;51.2463986427413
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2058;60.3271122178984
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2059;65.0330111625532
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2060;53.7116810242391
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2061;59.5319067909456
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2062;50.2957174462976
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2063;53.1578118915276
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2064;46.7217474897099
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2065;49.349288635224
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2066;58.0400634540761
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2067;55.20302858869
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2068;47.4983881960236
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2069;55.8545618997916
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2070;49.2535082748041
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2071;59.5051514431346
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2072;62.1076271156646
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2073;57.4508319594989
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2074;54.0770246717874
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2075;51.3542977564313
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2076;45.8363154283022
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2077;62.426628476656
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2078;45.3602641668649
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2079;62.7543830990603
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2080;44.3812190244649
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2081;57.6436391825872
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2082;40.9604189138722
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2083;53.7944217108144
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2084;46.6820219617494
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2085;54.3738397701109
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2086;55.5050470901898
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2087;40.7378464636138
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2088;53.4503434918184
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2089;47.9037612630422
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cc;2090;52.2312956082407
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2001;57.9823130479476
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2002;58.8328284719323
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2003;67.7847249855552
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2004;60.7486684097885
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2005;54.1744397434228
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2006;63.0986825719591
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2007;54.3514618890639
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2008;67.894137789767
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2009;68.5022305571676
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2010;54.575143313366
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2011;53.3450066305657
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2012;59.5678436882636
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2013;54.5207986773334
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2014;59.2844284533284
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2015;51.6024815274662
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2016;69.1184053435422
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2017;72.2080808847017
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2018;53.9203903054927
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2019;64.2804363746003
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2020;62.8957943854098
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2021;74.3794129776121
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2022;64.6045211234475
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2023;64.7905547740051
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2024;61.6902275160362
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2025;61.2679821088968
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2026;57.5718609557846
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2027;60.0842274639083
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2028;64.5537584825103
RWL4:Rhine-Erft;CMIP5:RCP8.5;Oats;Cd1;2029;59.5324288449024
