Region;Scenario;Crop;Real;Year;Proj.Yd
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2001;580.111176232721
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2002;538.252594077047
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2003;571.096712092109
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2004;573.728603394678
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2005;540.972766533012
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2006;513.106367426173
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2007;542.76324731224
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2008;506.126824142178
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2009;507.010741085202
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2010;558.522726283877
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2011;572.419952294984
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2012;540.197939275237
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2013;548.830004528759
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2014;596.014076095854
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2015;526.930242994316
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2016;566.545830272339
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2017;534.910259558992
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2018;524.954231641106
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2019;527.305834365497
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2020;496.514748804069
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2021;550.867308745216
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2022;514.771912404411
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2023;519.390527654992
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2024;598.69525574483
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2025;515.492773203054
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2026;548.813904124086
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2027;511.478586409351
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2028;559.410534520359
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2029;562.632728950674
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2030;505.102678302385
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2031;505.525817646845
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2032;511.026277696807
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2033;523.002516450867
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2034;577.461255095029
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2035;572.682161071501
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2036;539.377190918034
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2037;527.41785611957
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2038;554.031234492761
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2039;517.962006443017
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2040;518.410372416654
RWL4:Rhine-Erft;CMIP6:SSP370;Potatoes;40;2041;589.254001383136
